,2,3,4,5,6,30,11,9,7,31,8,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,1,27,28,29,34,35,32,33,$,P,D,D',D*,S,A,A*,IF,W,E,C,EQ,R*,EN0,R,R',RO,A',T*,ASO,T,MDO,F,F*,Y,L,BL,
49, , , ,r61, , , ,r61, , , ,r61, , , , ,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
50, , ,s43, , , ,s41, , , ,s44, , , , , , , , , , , , , , , , , , , , , ,s46,s47,s48,s49, , , , , , , , , , ,82,35,36, , ,37, , ,38, , ,39, ,40, , ,42,45
51, , , , , , , , , , , ,s83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
52, , , ,s84, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
53, , , ,s85, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
54, , , , ,r2, ,r2, , , , , , ,r2, ,r2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
55, , , , , , , ,s86, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
56, , , , ,r3, ,r3, , , , , , ,r3, ,r3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
57, , , , , , , , , , , ,s87, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
58, , , , , , , ,r5, ,s31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,88, , , , , , , , , , , , , , , , , , , , , , , 
59, , , , , ,r13, , , , , , , , ,r13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60, , ,s43, , , ,s41, , , ,s44, , , , , , , , , , , , , , , , , , , , , ,s46,s47,s48,s49, , , , , , , , , , ,89,35,36, , ,37, , ,38, , ,39, ,40, , ,42,45
61, , ,s43, , , ,s41, , , ,s44, , , , , , , , , , , , , , , , , , , , , ,s46,s47,s48,s49, , , , , , , , , , , ,90,36, , ,37, , ,38, , ,39, ,40, , ,42,45
62, , , ,r25, , , ,r25, , , ,r25, , , , ,r25,r25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
63, , ,s43, , , ,s41, , , ,s44, , , , , , , ,s64,s65, , , , , , , , , , , , ,s46,s47,s48,s49, , , , , , , , , , , , , ,92,63,91, , ,38, , ,39, ,40, , ,42,45
64, , ,r28, , , ,r28, , , ,r28, , , , , , , ,r28,r28, , , , , , , , , , , , ,r28,r28,r28,r28, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
65, , ,r29, , , ,r29, , , ,r29, , , , , , , ,r29,r29, , , , , , , , , , , , ,r29,r29,r29,r29, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
66, , , ,r31, , , ,r31, , , ,r31, , , , ,r31,r31,r31,r31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
67, , ,s43, , , ,s41, , , ,s44, , , , , , , , , , , , , , , , , , , , , ,s46,s47,s48,s49, , , , , , , , , , , , , , , ,93, , ,38, , ,39, ,40, , ,42,45
68, , ,r33, , , ,r33, , , ,r33, , , , , , , , , , , , , , , , , , , , , ,r33,r33,r33,r33, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
69, , ,r34, , , ,r34, , , ,r34, , , , , , , , , , , , , , , , , , , , , ,r34,r34,r34,r34, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
70, , ,r35, , , ,r35, , , ,r35, , , , , , , , , , , , , , , , , , , , , ,r35,r35,r35,r35, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
71, , ,r36, , , ,r36, , , ,r36, , , , , , , , , , , , , , , , , , , , , ,r36,r36,r36,r36, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
